,Year,GBP per BTC
0,2010,0.098961692926003
1,2011,3.723855761236246
2,2012,5.357119442731069
3,2013,42.95280218426246
4,2014,295.9976244086037
5,2015,212.54865031897378
6,2016,444.92701685045495
7,2017,3459.7489124445433
8,2018,7895.147439804674
